fat,sugar,sodium,grade
9.3,0.0,0.775,B
14.0,8.0,1.07,B
3.5,19.0,0.03,C
21.9,4.9,0.3886,C
43.5,9.7,0.87,D
13.7,27.4,0.4929,D
70.0,90.0,0.25,D
35.0,45.0,0.325,D
21.0,13.0,1.34,C
25.0,13.0,1.19,C
12.0,4.0,1.35,C
12.0,1.0,1.41,C
10.5,10.5,0.03,B
13.5,0.0,0.75,B
0.0,22.0,0.045,C
0.0,20.0,0.07,C
0.0,23.0,0.005,C
24.0,42.7,0.24,D
7.0,6.0,0.9,B
36.0,60.0,0.3,D
29.4,42.0,0.37839999999999996,D
25.2,84.1,0.4204,D
63.0,266.0,0.49,D
56.0,266.0,0.35,D
0.0,8.9,0.0,B
0.0,8.9,0.0,B
0.0,8.9,0.0,B
0.0,8.9,0.0,B
0.0,50.0,0.05,D
0.0,15.0,0.075,C
5.6,23.8,0.0625,C
4.5,19.0,0.05,C
4.0,19.0,0.045,C
5.0,23.8,0.056299999999999996,C
4.0,14.0,0.06,C
7.5,10.0,0.05,B
7.0,9.0,0.095,B
0.0,24.8,0.041299999999999996,C
14.0,14.0,0.04,C
16.7,25.0,0.25,C
2.0,0.0,0.03,A
15.0,3.0,0.285,B
0.0,13.8,0.0077,C
20.0,38.0,0.58,D
16.0,6.0,0.16,B
20.4,3.4,0.289,C
29.8,26.1,0.31660000000000005,D
1.5,5.0,0.025,A
36.0,48.0,0.72,D
0.0,23.0,0.065,C
0.0,23.0,0.0,C
0.0,27.0,0.03,D
17.5,10.0,1.45,C
6.0,16.0,0.09,C
8.8,10.0,0.0188,B
3.1,0.0,0.1313,A
5.0,0.0,0.48,A
9.0,0.0,0.26,B
2.8,2.2,0.572,B
14.0,2.0,0.92,B
12.0,5.0,1.15,B
11.0,3.0,1.33,C
6.0,8.0,0.04,B
5.0,11.0,0.085,B
4.4,16.3,0.0688,C
3.5,18.0,0.025,C
4.0,19.0,0.075,C
4.5,17.0,0.095,C
4.5,17.0,0.1,C
4.0,16.0,0.224,C
4.0,22.0,0.13,C
6.0,16.0,0.11,C
2.5,21.0,0.09,C
2.0,8.0,0.063,B
1.5,9.0,0.07,B
21.0,4.0,0.97,C
15.0,12.0,1.46,C
13.0,7.0,0.98,B
22.0,3.0,0.85,C
10.0,3.0,1.18,B
12.0,0.0,0.96,B
14.0,4.0,1.03,B
15.0,6.0,0.95,B
15.0,16.0,1.18,C
14.0,4.0,1.05,B
38.3,204.1,0.5103,D
0.0,20.0,0.055,C
0.0,14.0,0.045,C
0.0,16.0,0.1,C
0.0,20.0,0.06,C
0.0,19.0,0.16,C
0.0,28.0,0.24,D
5.0,8.0,0.055,B
0.0,7.0,0.105,B
22.5,10.0,0.8,C
3.0,17.0,0.13,C
3.5,18.0,0.16,C
3.5,16.0,0.16,C
4.0,15.0,0.15,C
3.5,15.0,0.11,C
3.5,18.0,0.115,C
0.0,40.0,0.06,D
6.0,19.0,0.14,C
0.0,19.6,0.168,C
0.0,50.4,0.432,D
2.5,21.0,0.09,C
2.5,16.0,0.09,C
7.5,5.0,0.9,B
8.5,15.0,0.09609999999999999,C
10.2,14.3,0.0715,C
7.2,10.3,0.0619,B
3.5,15.0,0.105,C
7.0,20.0,0.13,C
6.3,18.8,0.1375,C
6.3,18.8,0.1375,C
7.0,20.0,0.13,C
7.0,20.0,0.13,C
4.5,14.0,0.08,C
7.0,12.0,0.09,B
6.0,6.0,0.095,B
6.0,10.0,0.09,B
0.5,7.0,0.05,B
4.5,17.0,0.095,C
4.5,15.0,0.07,C
0.0,60.0,0.09,D
12.0,12.0,0.045,B
9.6,15.0,0.0964,C
9.0,14.0,0.06,C
6.0,8.0,0.095,B
7.0,10.0,0.09,B
8.0,6.0,0.1,B
5.0,15.0,0.01,C
4.5,17.0,0.07,C
6.0,19.0,0.08,C
4.0,14.0,0.11,C
2.5,9.0,0.065,B
4.0,20.0,0.19,C
4.0,18.0,0.055,C
6.0,19.0,0.11,C
4.0,18.0,0.055,C
3.0,14.0,0.06,C
4.0,18.0,0.06,C
9.0,11.0,0.085,B
7.0,9.0,0.07,B
5.0,23.0,0.075,C
4.0,18.0,0.06,C
5.0,25.0,0.075,C
4.0,20.0,0.06,C
3.5,25.0,0.09,C
2.5,25.0,0.09,C
4.0,23.0,0.095,C
6.0,9.0,0.07,B
7.0,20.0,0.075,C
4.5,21.0,0.06,C
6.0,5.0,0.06,A
29.0,48.3,0.1933,D
29.0,48.3,0.3867,D
29.0,48.3,0.1933,D
8.0,16.0,0.04,C
8.0,11.2,0.088,B
9.6,12.8,0.088,C
13.5,27.0,0.18,D
13.5,27.0,0.36,D
2.0,0.0,0.03,A
2.0,0.0,0.03,A
0.5,6.0,0.045,B
0.5,8.0,0.05,B
0.5,8.0,0.05,B
0.5,7.0,0.04,B
0.5,7.0,0.065,B
3.0,3.0,0.06,A
6.0,9.0,0.07,B
6.0,8.0,0.065,B
4.5,8.0,0.055,B
6.0,3.0,0.06,A
2.2,15.8,0.09359999999999999,C
1.4,15.8,0.1368,C
2.2,15.8,0.1008,C
2.2,15.8,0.1008,C
0.0,14.4,0.072,C
10.3,16.5,0.030899999999999997,C
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
5.0,19.0,0.2,C
4.5,2.0,0.15,A
14.0,6.0,1.16,B
2.5,11.0,0.04,B
3.5,6.0,0.06,B
2.0,13.0,0.07,C
3.0,15.0,0.06,C
3.0,12.0,0.05,B
2.5,12.0,0.03,B
4.5,22.0,0.105,C
2.0,20.0,0.01,C
4.0,19.0,0.08,C
4.5,18.0,0.095,C
4.0,15.0,0.08,C
0.0,18.8,0.0313,C
0.0,25.5,0.015,D
0.0,40.0,0.0125,D
0.0,17.0,0.015,C
0.0,30.0,0.0375,D
3.5,10.0,0.075,B
2.5,10.0,0.045,B
4.0,18.0,0.065,C
3.0,21.0,0.085,C
4.0,15.0,0.08,C
2.5,20.0,0.18,C
2.5,18.0,0.16,C
2.5,24.0,0.19,C
0.0,25.0,0.0208,C
0.0,37.5,0.0208,D
2.5,13.0,0.05,C
1.5,14.0,0.07,C
5.0,24.0,0.12,C
6.3,18.8,0.1375,C
5.0,24.0,0.12,C
1.0,17.0,0.0,C
2.0,12.0,0.01,B
3.5,18.0,0.05,C
2.5,17.0,0.01,C
2.0,13.0,0.015,C
2.0,12.0,0.02,B
2.0,13.0,0.01,C
4.5,13.0,0.1,C
12.0,16.0,1.36,C
25.1,8.4,1.4233,C
2.5,10.0,0.035,B
2.5,11.0,0.04,B
2.5,8.0,0.04,B
26.0,34.7,0.4983,D
0.0,7.0,0.095,B
0.0,17.2,0.078,C
0.0,17.2,0.039,C
0.0,18.7,0.0624,C
0.0,0.0,0.0312,A
0.0,42.1,0.023399999999999997,D
4.5,24.0,0.045,C
0.0,80.0,0.5,D
0.0,100.0,0.0,D
11.7,58.3,0.1167,D
3.5,25.0,0.09,C
3.5,25.0,0.09,C
3.5,25.0,0.09,C
3.5,25.0,0.09,C
18.0,24.0,0.21,C
21.0,24.0,0.18,C
11.6,10.5,0.1103,B
10.5,11.6,0.147,B
10.5,7.4,0.1418,B
0.0,2.0,0.18,A
1.5,5.0,0.025,A
32.0,32.0,0.84,D
4.0,27.2,0.048,D
3.2,27.2,0.056,D
4.0,22.4,0.08,C
4.0,24.0,0.056,C
7.0,8.0,0.05,B
0.0,25.0,0.0813,C
7.0,9.0,0.09,B
5.0,15.0,0.15,C
22.0,6.0,0.81,C
2.5,21.0,0.17,C
2.5,24.0,0.17,C
3.0,16.0,0.115,C
4.0,14.0,0.13,C
3.0,15.0,0.085,C
7.0,8.0,0.025,B
0.0,90.0,0.0,D
10.5,18.0,0.12,C
0.8,9.6,0.04,B
2.4,14.4,0.018,C
16.3,16.3,0.26,C
0.0,66.7,0.0,D
13.5,22.5,0.045,C
14.0,30.3,0.175,D
11.7,30.3,0.26830000000000004,D
4.5,25.0,0.1,C
4.5,25.0,0.1,C
4.5,25.0,0.095,C
25.0,30.0,0.2,D
5.0,0.0,0.02,A
3.0,1.0,0.015,A
5.0,1.0,0.015,A
7.0,0.0,0.01,B
3.0,0.0,0.02,A
4.5,2.0,0.025,A
6.0,0.0,0.025,A
4.5,0.26,0.0,A
0.0,0.0,0.0,A
14.0,4.0,0.0,B
10.0,0.26,0.0,B
11.0,0.0,0.0,B
6.0,2.0,0.0,A
6.0,0.0,0.0,A
17.0,6.0,0.24,C
4.5,7.0,0.075,B
4.0,7.0,0.1,B
20.0,7.0,0.93,C
0.0,9.0,0.07,B
0.0,18.0,0.055,C
1.5,8.0,0.15,B
0.0,0.0,0.44,A
0.0,10.0,0.98,B
3.5,1.0,0.105,A
0.0,3.0,0.33,A
0.0,0.0,0.83,B
0.0,7.5,0.018,B
1.0,2.0,0.17,A
1.0,2.0,0.26,A
2.5,20.0,0.015,C
0.0,8.0,0.31,B
0.0,3.0,0.4,A
0.0,3.0,0.29,A
0.0,8.0,0.28,B
0.0,22.0,0.04,C
13.0,1.0,1.32,C
3.0,17.0,0.01,C
0.0,6.0,0.0,B
2.0,4.0,0.52,B
1.0,2.0,0.26,A
0.0,9.0,0.0,B
0.0,13.0,0.0,C
3.5,15.0,0.015,C
0.04,0.0,0.75,B
1.0,2.0,0.24,A
21.0,3.0,1.23,C
1.5,6.0,0.42,B
4.5,0.0,0.0,A
2.5,16.0,0.045,C
0.0,10.0,0.01,B
1.5,1.0,0.36,A
2.5,17.0,0.02,C
1.5,8.0,0.15,B
0.0,27.0,0.0,D
0.0,15.0,0.035,C
0.0,4.0,0.15,A
2.9,0.0,0.0,A
1.5,0.0,0.24,A
1.5,8.0,0.15,B
0.0,6.0,0.34,B
13.0,5.0,0.88,B
0.0,28.0,0.04,D
1.0,1.0,0.2,A
2.0,12.0,0.01,B
0.0,9.0,0.07,B
1.5,0.0,0.24,A
0.0,7.0,0.3,B
0.0,8.0,0.31,B
13.0,1.0,1.29,C
1.5,3.0,0.32,A
0.0,15.0,0.035,C
1.0,3.0,0.3,A
13.0,1.0,1.09,B
1.0,4.0,0.24,A
15.0,4.0,1.22,B
3.5,22.0,0.08,C
2.0,7.0,0.14,B
0.0,0.4,0.0,A
0.0,24.0,0.03,C
2.5,9.0,0.055,B
2.5,14.0,0.15,C
0.0,15.0,0.065,C
1.5,5.0,0.42,A
1.5,0.0,0.0,A
16.0,4.0,1.46,C
1.0,2.0,0.26,A
14.0,4.0,0.64,B
4.5,1.0,0.12,A
